SessionID	ClOrdID	Exchange	HH:MM:SS	Status	TimeD	Time8A	Time80	P-N	NC-N	Time81	Msg_D	Msg_8A	Msg_80	E1-D
KSFMQ-CYHFMQ	11=yh4	sfe	13:52:08	2	276962505			-276962505	-276962505	277130113	1	0	0	167608
KSFMQ-CYHFMQ	11=yh5	sfe	13:57:01	2	277254867			-277254867	-277254867	277254882	3	0	0	15
KSFMQ-CYHFMQ	11=yh6	sfe	14:03:43	2	277656897			-277656897	-277656897	277656897	7	0	0	0
KSFMQ-CYHFMQ	11=yh7	sfe	14:32:42	2	279396542			-279396542	-279396542	279396558	12	0	0	16
KSFMQ-CYHFMQ	11=yh8	sfe	14:32:42	2	279396620			-279396620	-279396620	279396620	14	0	0	0
KSFMQ-CYHFMQ	11=yh9	sfe	14:32:42	2	279396620			-279396620	-279396620	279396620	16	0	0	0
KSFMQ-CYHFMQ	11=yh10	sfe	14:32:42	2	279396745			-279396745	-279396745	279396761	18	0	0	16
KSFMQ-CYHFMQ	11=yh11	sfe	14:32:42	2	279396761			-279396761	-279396761	279396761	19	0	0	0
KSFMQ-CYHFMQ	11=yh12	sfe	14:32:43	2	279396807			-279396807	-279396807	279396823	22	0	0	16
KSFMQ-CYHFMQ	11=yh13	sfe	14:32:43	2	279396823			-279396823	-279396823	279396823	24	0	0	0
KSFMQ-CYHFMQ	11=yh14	sfe	14:32:43	2	279396995			-279396995	-279396995	279397010	26	0	0	15
KSFMQ-CYHFMQ	11=yh15	sfe	14:32:43	2	279396995			-279396995	-279396995	279397010	27	0	0	15
KSFMQ-CYHFMQ	11=yh16	sfe	14:32:43	2	279397041			-279397041	-279397041	279397041	30	0	0	0
KSFMQ-CYHFMQ	11=yh17	sfe	14:34:30	2	279504682			-279504682	-279504682	279504698	32	0	0	16
KSFMQ-CYHFMQ	11=yh18	sfe	14:34:30	2	279504744			-279504744	-279504744	279504744	34	0	0	0
KSFMQ-CYHFMQ	11=yh19	sfe	14:34:30	2	279504744			-279504744	-279504744	279504744	36	0	0	0
KSFMQ-CYHFMQ	11=yh20	sfe	14:34:30	2	279504744			-279504744	-279504744	279504760	38	0	0	16
KSFMQ-CYHFMQ	11=yh21	sfe	14:34:31	2	279504869			-279504869	-279504869	279504869	40	0	0	0
KSFMQ-CYHFMQ	11=yh22	sfe	14:34:31	2	279504885			-279504885	-279504885	279504885	42	0	0	0
KSFMQ-CYHFMQ	11=yh23	sfe	14:34:31	2	279504900			-279504900	-279504900	279504916	44	0	0	16
KSFMQ-CYHFMQ	11=yh24	sfe	14:34:31	2	279504900			-279504900	-279504900	279504916	45	0	0	16
KSFMQ-CYHFMQ	11=yh25	sfe	14:34:31	2	279504916			-279504916	-279504916	279504932	48	0	0	16
KSFMQ-CYHFMQ	11=yh26	sfe	14:34:31	2	279504947			-279504947	-279504947	279504963	50	0	0	16
KSFMQ-CYHFMQ	11=yh27	sfe	15:04:23	2	281296837			-281296837	-281296837	281296853	52	0	0	16
KSFMQ-CYHFMQ	11=yh28	sfe	15:04:23	2	281296868			-281296868	-281296868	281296884	54	0	0	16
KSFMQ-CYHFMQ	11=yh29	sfe	15:04:23	2	281296868			-281296868	-281296868	281296884	55	0	0	16
KSFMQ-CYHFMQ	11=yh30	sfe	15:04:23	2	281296900			-281296900	-281296900	281296915	58	0	0	15
KSFMQ-CYHFMQ	11=yh31	sfe	15:04:23	2	281296946			-281296946	-281296946	281296962	60	0	0	16
KSFMQ-CYHFMQ	11=yh32	sfe	15:04:23	2	281297056			-281297056	-281297056	281297071	62	0	0	15
KSFMQ-CYHFMQ	11=yh33	sfe	15:04:23	2	281297071			-281297071	-281297071	281297087	64	0	0	16
KSFMQ-CYHFMQ	11=yh34	sfe	15:04:23	2	281297087			-281297087	-281297087	281297087	66	0	0	0
KSFMQ-CYHFMQ	11=yh35	sfe	15:04:23	2	281297118			-281297118	-281297118	281297134	68	0	0	16
KSFMQ-CYHFMQ	11=yh36	sfe	15:04:23	2	281297196			-281297196	-281297196	281297212	70	0	0	16
KSFMQ-CYHFMQ	11=yh37	sfe	15:12:16	2	281770441			-281770441	-281770441	281770456	72	0	0	15
KSFMQ-CYHFMQ	11=yh38	sfe	15:12:16	2	281770441			-281770441	-281770441	281770456	73	0	0	15
KSFMQ-CYHFMQ	11=yh39	sfe	15:12:16	2	281770472			-281770472	-281770472	281770487	76	0	0	15
KSFMQ-CYHFMQ	11=yh40	sfe	15:12:16	2	281770534			-281770534	-281770534	281770550	78	0	0	16
KSFMQ-CYHFMQ	11=yh41	sfe	15:12:16	2	281770597			-281770597	-281770597	281770612	80	0	0	15
KSFMQ-CYHFMQ	11=yh42	sfe	15:12:16	2	281770659			-281770659	-281770659	281770675	82	0	0	16
KSFMQ-CYHFMQ	11=yh43	sfe	15:12:16	2	281770659			-281770659	-281770659	281770675	83	0	0	16
KSFMQ-CYHFMQ	11=yh44	sfe	15:12:17	2	281770768			-281770768	-281770768	281770768	86	0	0	0
KSFMQ-CYHFMQ	11=yh45	sfe	15:12:17	2	281770768			-281770768	-281770768	281770784	88	0	0	16
KSFMQ-CYHFMQ	11=yh46	sfe	15:12:17	2	281770815			-281770815	-281770815	281770815	90	0	0	0
KSFMQ-CYHFMQ	11=yh47	sfe	15:12:59	2	281813512			-281813512	-281813512	281813512	92	0	0	0
KSFMQ-CYHFMQ	11=yh48	sfe	15:12:59	2	281813544			-281813544	-281813544	281813544	94	0	0	0
KSFMQ-CYHFMQ	11=yh49	sfe	15:12:59	2	281813559			-281813559	-281813559	281813575	96	0	0	16
KSFMQ-CYHFMQ	11=yh50	sfe	15:12:59	2	281813731			-281813731	-281813731	281813746	98	0	0	15
KSFMQ-CYHFMQ	11=yh51	sfe	15:12:59	2	281813746			-281813746	-281813746	281813746	100	0	0	0
KSFMQ-CYHFMQ	11=yh52	sfe	15:12:59	2	281813746			-281813746	-281813746	281813762	102	0	0	16
KSFMQ-CYHFMQ	11=yh53	sfe	15:12:59	2	281813746			-281813746	-281813746	281813762	103	0	0	16
KSFMQ-CYHFMQ	11=yh54	sfe	15:13:00	2	281813824			-281813824	-281813824	281813840	106	0	0	16
KSFMQ-CYHFMQ	11=yh55	sfe	15:13:00	2	281813934			-281813934	-281813934	281813949	108	0	0	15
KSFMQ-CYHFMQ	11=yh56	sfe	15:13:00	2	281813949			-281813949	-281813949	281813965	110	0	0	16
KSFMQ-CYHFMQ	11=yh57	sfe	15:13:00	2	281813965			-281813965	-281813965	281813965	112	0	0	0
KSFMQ-CYHFMQ	11=yh58	sfe	15:13:00	2	281813980			-281813980	-281813980	281813996	114	0	0	16
KSFMQ-CYHFMQ	11=yh59	sfe	15:13:00	2	281814090			-281814090	-281814090	281814090	116	0	0	0
KSFMQ-CYHFMQ	11=yh60	sfe	15:13:00	2	281814152			-281814152	-281814152	281814168	118	0	0	16
KSFMQ-CYHFMQ	11=yh61	sfe	15:13:00	2	281814168			-281814168	-281814168	281814168	120	0	0	0
KSFMQ-CYHFMQ	11=yh62	sfe	15:13:00	2	281814308			-281814308	-281814308	281814308	122	0	0	0
KSFMQ-CYHFMQ	11=yh63	sfe	15:13:00	2	281814324			-281814324	-281814324	281814324	124	0	0	0
KSFMQ-CYHFMQ	11=yh64	sfe	15:13:00	2	281814339			-281814339	-281814339	281814355	126	0	0	16
KSFMQ-CYHFMQ	11=yh65	sfe	15:13:00	2	281814448			-281814448	-281814448	281814448	128	0	0	0
KSFMQ-CYHFMQ	11=yh66	sfe	15:13:00	2	281814448			-281814448	-281814448	281814448	130	0	0	0
KSFMQ-CYHFMQ	11=yh67	sfe	15:13:00	2	281814636			-281814636	-281814636	281814636	132	0	0	0
KSFMQ-CYHFMQ	11=yh68	sfe	15:13:00	2	281814651			-281814651	-281814651	281814651	134	0	0	0
KSFMQ-CYHFMQ	11=yh69	sfe	15:13:00	2	281814667			-281814667	-281814667	281814667	136	0	0	0
KSFMQ-CYHFMQ	11=yh70	sfe	15:13:00	2	281814682			-281814682	-281814682	281814698	138	0	0	16
KSFMQ-CYHFMQ	11=yh71	sfe	15:13:00	2	281814682			-281814682	-281814682	281814698	139	0	0	16
